what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657004518
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657007314
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.cleanAction,1373657007353
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657007689
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657009114
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657027734
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657042655
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1373657042907
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1373657043072
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.navigate.open.type,1373657043224
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657049680
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.show.outline,1373657049841
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657055443
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1373657150617
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1373657173990
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1373657224797
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657231809
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657238945
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657249618
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657282904
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1373657283432
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1373657283601
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1373657286544
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657288519
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373657288815
