what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373711163298
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.window.maximizePart,1373711167543
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1373711169658
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1373711171618
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1373711176381
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1373711197412
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1373711201975
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1373711203828
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.navigate.linkWithEditor,1373711203922
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.navigate.linkWithEditor,1373711204850
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1373711210768
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373711383012
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373711563840
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.navigate.collapseAll,1373711565879
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1373711572464
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373711572804
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373711574136
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373711576896
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373711604229
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1373711607262
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1373711610844
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1373711614078
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1373711615684
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1373711617130
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373711617527
