what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492092053
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492092075
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492094223
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492094639
activated,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1373492100288
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1373492102164
started,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1373492108028
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492109273
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492112653
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492117722
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492119839
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1373492120230
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1373492120613
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.navigate.open.type,1373492120812
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492126200
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.show.outline,1373492126377
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492145538
activated,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1373492165956
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1373492170499
activated,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1373492172337
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1373492176620
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492178126
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373492182693
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1373492183016
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1373492183201
