what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1373739418262
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373739421804
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373739421892
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1373739421900
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373739431428
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373739431507
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1373739431516
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1373739437435
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1373739448789
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1373739449072
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1373739458472
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1373739510290
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373739553584
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373739570230
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373739572252
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373739572374
executed,command,,,AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction,1373739589174
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.debug,1373739600491
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373739602546
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373739607211
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1373739608153
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.VariableView,1373739608551
activated,perspective,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugPerspective,1373739608721
started,bundle,org.eclipse.mylyn.ide.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ui,1373739609968
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.BreakpointView,1373739610061
