what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1373708137136
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1373708137467
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.JavaPerspective,1373708137468
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1373708144379
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1373708150986
started,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1373708151165
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1373708153361
started,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1373708156870
opened,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1373708157312
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.104.v200902121909,org.eclipse.wst.jsdt.web.core,1373708157602
started,bundle,org.eclipse.jst.j2ee.web,1.1.203.v200901290400,org.eclipse.jst.j2ee.web,1373708157758
started,bundle,org.eclipse.jst.jsf.ui,1.1.102.v20090128,org.eclipse.jst.jsf.ui,1373708157815
started,bundle,org.eclipse.jpt.core,2.0.102.v200901160200,org.eclipse.jpt.core,1373708159089
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1373708159187
started,bundle,org.eclipse.jst.j2ee.jca,1.1.203.v200811060900,org.eclipse.jst.j2ee.jca,1373708159218
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.203.v200811060500,org.eclipse.jst.j2ee.ejb,1373708159260
started,bundle,org.eclipse.jst.common.frameworks,1.1.201.v200810161330,org.eclipse.jst.common.frameworks,1373708159317
activated,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1373708159558
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1373708159645
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1373708174778
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1373708211054
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1373708216618
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1373708218410
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373708228431
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1373708236071
